label,description,image,timeunit,timevalue,anchor?
Jurassic Park Premieres,"Jurassic Park, later also referred to as Jurassic World, is an American science fiction media franchise created by Michael Crichton and centered on a disastrous attempt to create a theme park of cloned dinosaurs.",jurassicparkpremieres.png,year,1993,FALSE
Mount St. Helens Erupted,"On March 27, 1980, a series of volcanic explosions and pyroclastic flows began at Mount St. Helens in Skamania County, Washington, United States. A series of phreatic blasts occurred from the summit and escalated until a major explosive eruption took place on May 18, 1980, at 8:32 AM. The eruption, which had a Volcanic Explosivity Index of 5, was the most significant to occur in the contiguous United States since the much smaller 1915 eruption of Lassen Peak in California. It has often been declared the most disastrous volcanic eruption in U.S. history. ",mountsthelenserupted.jpg,year,1980,FALSE
Moon Landing,"The United States' Apollo 11 was the first crewed mission to land on the Moon, on 20 July 1969. There were six crewed U.S. landings between 1969 and 1972, and numerous uncrewed landings, with no soft landings happening between 22 August 1976 and 14 December 2013.",moonlanding.png,year,1969,FALSE
UBC Founded,"The University of British Columbia (UBC) is a public research university with campuses near Vancouver and in Kelowna, British Columbia. Established in 1908, it is British Columbia's oldest university. The university ranks among the top three universities in Canada. With an annual research budget of $759 million, UBC funds over 8,000 projects a year.",ubcfounded.png,year,1908,FALSE
Tambora Eruption,"Mount Tambora is a volcano on the island of Sumbawa in present-day Indonesia, then part of the Dutch East Indies, and its 1815 eruption was the most powerful volcanic eruption in recorded human history. This volcanic explosivity index (VEI) 7 eruption ejected 160–213 cubic kilometres (38–51 cu mi) of material into the atmosphere, and was the most recent confirmed VEI-7 eruption.",tamboraeruption.jpg,year,1815,FALSE
Little Ice Age,"The Little Ice Age (LIA) was a period of regional cooling, particularly pronounced in the North Atlantic region. It was not a true ice age of global extent. The term was introduced into scientific literature by François E. Matthes in 1939. The period has been conventionally defined as extending from the 16th to the 19th centuries, but some experts prefer an alternative timespan from about 1300 to about 1850.",littleiceage.png,years,500,FALSE
Ancient Egyptians,"Ancient Egypt was a civilization in Northeast Africa situated in the Nile Valley. Ancient Egyptian civilization followed prehistoric Egypt and coalesced around 3100 BC (according to conventional Egyptian chronology)[1] with the political unification of Upper and Lower Egypt under Menes (often identified with Narmer).[2] The history of ancient Egypt occurred as a series of stable kingdoms, separated by periods of relative instability known as Intermediate Periods: the Old Kingdom of the Early Bronze Age, the Middle Kingdom of the Middle Bronze Age and the New Kingdom of the Late Bronze Age.",ancientegyptians.jpg,years,5170,FALSE
Domestication of Rice,"Rice is the seed of the grass species Oryza sativa (Asian rice) or less commonly Oryza glaberrima (African rice). The name wild rice is usually used for species of the genera Zizania and Porteresia, both wild and domesticated, although the term may also be used for primitive or uncultivated varieties of Oryza.",domesticationofrice.jpeg,years,9400,FALSE
Last Ice Age,"An ice age is a long period of reduction in the temperature of Earth's surface and atmosphere, resulting in the presence or expansion of continental and polar ice sheets and alpine glaciers. Earth's climate alternates between ice ages and greenhouse periods, during which there are no glaciers on the planet. Earth is currently in the Quaternary glaciation.[1] Individual pulses of cold climate within an ice age are termed glacial periods (or, alternatively, glacials, glaciations, glacial stages, stadials, stades, or colloquially, ice ages), and intermittent warm periods within an ice age are called interglacials or interstadials.",lasticeage.jpg,years,20000,FALSE
Homo sapiens,"Anatomically modern humans emerged around 300,000 years ago in Africa, evolving from Homo heidelbergensis or a similar species and migrating out of Africa, gradually replacing or interbreeding with local populations of archaic humans. For most of history, humans were nomadic hunter-gatherers.",homosapiens.jpeg,years,300000,FALSE
