label,description,image,time/unit,time/value,anchor?
"Hello, age of mammals!",,,years,50000000,FALSE
"Wham! Goodbye, big dinsosaurs",,,years,66000000,FALSE
Dinosaurs ruled,,,years,100000000,FALSE
The supercontinent split,,,years,200000000,FALSE
Global warming killed trilobites,,,years,252000000,FALSE
Earth had one big continent,,,years,335000000,FALSE
First forests cooled Earth,,,years,385000000,FALSE
The spineless glory days recorded,,,years,508000000,FALSE
Poised for an explosion of animals,,,years,541000000,FALSE
Life got big in the oceans,,,years,635000000,FALSE
Life survived Snowball Earth,,,years,645000000,FALSE
Supercontinents formed and broke apart,,,years,900000000,FALSE
Comet strike evolved new life?,,,years,1850000000,FALSE
North America nearly split apart,,,years,1100000000,FALSE
Ancient algae helped date plant ancestor,,,years,1250000000,FALSE
"When lava flowed, minerals formed",,,years,1270000000,FALSE
Earth froze when new bacteria evolved,,,years,2360000000,FALSE
When bacteria changed the world,,,years,2400000000,FALSE
Birthing Earth's landmasses,,,years,2800000000,FALSE
"Earth's crust cracked and moved, sustaining life",,,years,3000000000,FALSE
Microbes ruled in Earth's green ocean,,,years,3700000000,FALSE
Early Earth: watery Earth,,,years,3750000000,FALSE
Recipe for habitable planet = ancient microbes?,,,years,3800000000,FALSE
Canadian rocks tell Earth's history,,,years,4000000000,FALSE
Incoming! Meteors bombarded young Earth,,,years,4100000000,FALSE
Impacts formed Earth and birthed its moon,,,years,4560000000,FALSE
